Age,M,F
0-4,44543000,38582614
5-9,46839404,41359081
10-14,52376718,47158082
15-19,67692585,63226933
20-24,52514052,49592564
25-29,50550037,47851059
30-34,63015648,59874755
35-39,64954638,62786771
40-44,53199554,50836825
45-49,43240775,41311510
50-54,44074906,42397299
55-59,30194099,29254430
60-64,22589089,21184996
65-69,19307104,18350002
70-74,14347328,14911884
75-79,8315499,9762460
80-84,3853488,5510687
85-89,1509372,2502904
90-94,327890,710275
95-99,38032,113131
100+,2682,12218
