Age,M,F
0-4,53627477,50408845
5-9,36660031,34202170
10-14,29422313,25985605
15-19,28621661,24744378
20-24,26928698,23812240
25-29,23880498,20875272
30-34,20984849,19192408
35-39,20671575,18730517
40-44,18203754,16790110
45-49,15105730,14450817
50-54,13259822,12982075
55-59,10429911,10286828
60-64,8326360,8856393
65-69,5488217,6387654
70-74,3277030,4534120
75-79,1274864,2164359
80-84,422040,868574
85-89,83872,249756
90-94,9657,35137
95-99,1088,4317
100+,95,435
